SKU;Вид;Артикул
000123;Ковбаса варена;A-4587
000124;Ковбаса копчена;A-4588
000125;Сосиски;A-4589
000126;Шинка Молочна;A-4469
000127;Паштет Святкова;A-4472
000128;Ковбаса варена Докторська;A-4475
000129;Сирокопчена ковбаса Докторська;A-4478
000130;Шинка Класична;A-4481
000131;Ковбаса варена Преміум;A-4484
000132;Сирокопчена ковбаса Салямі;A-4487
000133;Ковбаса варена Докторська;A-4490
000134;Паштет Домашня;A-4493
000135;Ковбаса копчена Салямі;A-4496
000136;Ковбаса копчена Фірмова;A-4499
000137;Паштет Лікарська;A-4502
000138;Ковбаски мисливські Докторська;A-4505
000139;Сосиски Святкова;A-4508
000140;Ковбаски мисливські Лікарська;A-4511
000141;Ковбаски мисливські Класична;A-4514
000142;Паштет Лікарська;A-4517
000143;Сосиски Лікарська;A-4520
000144;Сирокопчена ковбаса Дитяча;A-4523
000145;Ковбаса напівкопчена Сервелат;A-4526
000146;Паштет Молочна;A-4529
000147;Сирокопчена ковбаса Докторська;A-4532
000148;Ковбаски мисливські Сервелат;A-4535
000149;Сирокопчена ковбаса Дитяча;A-4538
000150;Ковбаса напівкопчена Докторська;A-4541
000151;Ковбаски мисливські Класична;A-4544
000152;Сосиски Київська;A-4547
000153;Ковбаса копчена Фірмова;A-4550
000154;Ковбаса копчена Класична;A-4553
000155;Ковбаса варена Класична;A-4556
000156;Сосиски Вершкова;A-4559
000157;Сирокопчена ковбаса Домашня;A-4562
000158;Шинка Вершкова;A-4565
000159;Ковбаски мисливські Преміум;A-4568
000160;Грудинка Київська;A-4571
000161;Сардельки Салямі;A-4574
000162;Ковбаса напівкопчена Селянська;A-4577
000163;Сосиски Докторська;A-4580
000164;Ковбаски мисливські Сервелат;A-4583
000165;Сирокопчена ковбаса Вершкова;A-4586
000166;Шинка Селянська;A-4589
000167;Грудинка Сервелат;A-4592
000168;Ковбаски мисливські Докторська;A-4595
000169;Ковбаса копчена Фірмова;A-4598
000170;Паштет Молочна;A-4601
000171;Шинка Молочна;A-4604
000172;Грудинка Домашня;A-4607
000173;Ковбаса варена Святкова;A-4610
000174;Ковбаса копчена Філейна;A-4613
000175;Сирокопчена ковбаса Класична;A-4616
000176;Шинка Київська;A-4619
000177;Шинка Класична;A-4622
000178;Грудинка Класична;A-4625
000179;Грудинка Докторська;A-4628
000180;Ковбаса копчена Сервелат;A-4631
000181;Грудинка Селянська;A-4634
000182;Ковбаса копчена Лікарська;A-4637
000183;Сардельки Святкова;A-4640
000184;Ковбаски мисливські Святкова;A-4643
000185;Грудинка Сервелат;A-4646
000186;Паштет Преміум;A-4649
000187;Шинка Лікарська;A-4652
000188;Грудинка Київська;A-4655
000189;Ковбаса напівкопчена Класична;A-4658
000190;Ковбаса копчена Вершкова;A-4661
000191;Ковбаса варена Салямі;A-4664
000192;Сардельки Молочна;A-4667
000193;Сосиски Домашня;A-4670
000194;Паштет Преміум;A-4673
000195;Грудинка Докторська;A-4676
000196;Ковбаса напівкопчена Вершкова;A-4679
000197;Паштет Фірмова;A-4682
000198;Сардельки Преміум;A-4685
000199;Ковбаса напівкопчена Дитяча;A-4688
000200;Паштет Дитяча;A-4691
000201;Сирокопчена ковбаса Сервелат;A-4694
000202;Паштет Київська;A-4697
000203;Паштет Салямі;A-4700
000204;Ковбаса напівкопчена Докторська;A-4703
000205;Ковбаса напівкопчена Молочна;A-4706
000206;Сосиски Святкова;A-4709
000207;Сосиски Лікарська;A-4712
000208;Грудинка Дитяча;A-4715
000209;Ковбаски мисливські Молочна;A-4718
000210;Сардельки Сервелат;A-4721
000211;Ковбаса варена Молочна;A-4724
000212;Паштет Фірмова;A-4727
000213;Шинка Класична;A-4730
000214;Ковбаски мисливські Київська;A-4733
000215;Ковбаса напівкопчена Селянська;A-4736
000216;Сирокопчена ковбаса Класична;A-4739
000217;Ковбаса варена Вершкова;A-4742
000218;Сирокопчена ковбаса Домашня;A-4745
000219;Паштет Домашня;A-4748
000220;Паштет Докторська;A-4751
000221;Грудинка Святкова;A-4754
000222;Паштет Лікарська;A-4757
000223;Сосиски Докторська;A-4760
000224;Сосиски Вершкова;A-4763
000225;Ковбаса напівкопчена Докторська;A-4766
000226;Шинка Класична;A-4769
000227;Ковбаса варена Докторська;A-4772
000228;Ковбаса варена Класична;A-4775
000229;Ковбаса напівкопчена Фірмова;A-4778
000230;Ковбаса копчена Київська;A-4781
000231;Ковбаски мисливські Лікарська;A-4784
000232;Ковбаса копчена Дитяча;A-4787
000233;Сосиски Класична;A-4790
000234;Паштет Молочна;A-4793
000235;Сардельки Київська;A-4796
000236;Ковбаски мисливські Київська;A-4799
000237;Грудинка Докторська;A-4802
000238;Ковбаса копчена Дитяча;A-4805
000239;Грудинка Вершкова;A-4808
000240;Грудинка Вершкова;A-4811
000241;Сардельки Докторська;A-4814
000242;Ковбаса напівкопчена Докторська;A-4817
000243;Шинка Селянська;A-4820
000244;Сардельки Вершкова;A-4823
000245;Ковбаса напівкопчена Фірмова;A-4826
000246;Ковбаса варена Салямі;A-4829
000247;Сирокопчена ковбаса Київська;A-4832
000248;Ковбаса напівкопчена Селянська;A-4835
000249;Сирокопчена ковбаса Преміум;A-4838
000250;Ковбаса варена Філейна;A-4841
000251;Сирокопчена ковбаса Сервелат;A-4844
000252;Ковбаса копчена Селянська;A-4847
000253;Сардельки Фірмова;A-4850
000254;Шинка Преміум;A-4853
000255;Ковбаса напівкопчена Київська;A-4856
000256;Сосиски Фірмова;A-4859
000257;Сирокопчена ковбаса Філейна;A-4862
000258;Сирокопчена ковбаса Київська;A-4865
000259;Сосиски Класична;A-4868
000260;Сосиски Філейна;A-4871
000261;Сосиски Дитяча;A-4874
000262;Паштет Селянська;A-4877
000263;Сосиски Салямі;A-4880
000264;Сирокопчена ковбаса Вершкова;A-4883
000265;Шинка Селянська;A-4886
000266;Ковбаса варена Лікарська;A-4889
000267;Сардельки Вершкова;A-4892
000268;Сардельки Салямі;A-4895
000269;Ковбаски мисливські Київська;A-4898
000270;Грудинка Філейна;A-4901
000271;Шинка Київська;A-4904
000272;Ковбаса копчена Салямі;A-4907
